x,y_x,y_y
15.0,17.83830665555896,17.363270789940962
15.02,23.25986162478241,18.47018172324981
15.04,21.23833496652332,18.604814282158344
15.06,16.7669361592457,17.644270097539884
15.08,16.9459156920154,17.79911711385062
15.1,18.043671643988468,17.74064176612572
15.12,19.831867668127526,17.165334071263125
15.14,19.252990668172636,17.41558893607457
15.16,17.21896877619075,17.695731883371895
15.18,15.026021937759282,17.465085101240867
15.2,15.043209750415343,16.985236818829847
15.22,17.548969104404414,17.60632702126466
15.24,17.131335194818003,16.765200469996714
15.26,16.821071421192094,16.79523747672805
15.28,16.02242993753438,16.65623304233063
15.3,17.60284612966008,17.09241090166941
15.32,17.206760124185895,17.245987693026372
15.34,17.602195946340075,16.3732074977722
15.36,17.334850902444344,16.057039160891545
15.38,17.16036059864043,17.190632899507666
15.4,17.695080093132848,17.04815917815842
15.42,17.748020677525254,16.9465385968735
15.44,17.91068205950623,16.76312517925337
15.46,13.934477433414026,16.925755779005716
15.48,16.507344133745946,16.39563780471071
15.5,17.68238425224519,16.75171557810726
15.52,16.718378318910187,17.08475156951286
15.54,15.691567114823787,17.353683140987798
15.56,16.87538648111809,16.98978110058884
15.58,15.311637142651477,16.270009786451045
15.6,16.253761978823768,16.283932322587418
15.62,16.353204521417062,16.546175691735407
15.64,16.567624109061338,16.68669352626592
15.66,15.213575697016546,16.16770463941537
15.68,16.018116274881734,16.105852119806784
15.7,17.296810405121605,16.38135809999414
15.72,18.014656391811428,16.67901897297287
15.74,17.5893557851947,16.840179811530316
15.76,16.580649608664064,16.746185005025538
15.78,16.306859266132122,17.190419574293113
15.8,15.858532408144113,16.24047064122229
15.82,15.747951443496245,16.318684453031665
15.84,16.31837855697454,15.289139905215151
15.86,16.07429375408723,14.998068644668392
15.88,17.034891221825045,15.168357439013556
15.9,17.328964284015868,15.451383208403044
15.92,16.65760904696047,16.097106919572415
15.94,15.43902323763865,15.998560166529405
15.96,16.63028832521354,15.338490261424997
15.98,18.184722160618406,15.208699432154798
16.0,16.73186594840102,15.669909914707706
16.02,15.282224154025839,15.660456657002175
16.04,15.890650400451,15.31073169005435
16.06,17.17732139315249,15.581607442432924
16.08,15.470171634337625,15.231618349932944
16.1,14.536652288059042,15.017543547564298
16.12,14.115066479259086,14.835206561063421
16.14,15.86927900793296,15.761139824105706
16.16,17.53251153264115,15.674760934591063
16.18,17.693183277170167,15.401041612258297
16.2,14.539167101482274,16.588945282491323
16.22,14.383900836140349,15.892051307857214
16.24,13.991627426104252,16.118705441688046
16.26,14.760330253966147,16.88162761644812
16.28,15.399773803015467,16.05888584066112
16.3,15.47408941170474,15.180389623569075
16.32,16.59390267872687,14.64227111288623
16.34,14.368087206505452,15.221863095806789
16.36,14.575607666556545,15.294387400108985
16.38,16.064470560578574,15.246591263634947
16.4,14.619580202456653,15.849431401337661
16.42,13.972006152575208,15.69341867763074
16.44,14.256882218246156,15.235818190485311
16.46,16.20755266441999,14.88243557258671
16.48,16.035100219627616,14.842233538653206
16.5,15.159250753223938,14.690045821518426
16.52,15.606408223249936,14.538760539939648
16.54,16.320972606639028,14.771052986736546
16.56,14.985707871950853,15.215775551567017
16.58,14.633142382843277,13.888348370051018
16.6,14.315572670524576,14.363688878296813
16.62,13.588136898912662,15.146446119882189
16.64,13.606444034186167,14.50407885422072
16.66,14.418397225311892,14.526767559542863
16.68,15.086728407240631,13.884490352260318
16.7,15.170050058619147,13.412382400606639
16.72,14.003761351859238,13.283742448246032
16.74,14.904581735242505,13.828166675367095
16.76,15.931739748993737,14.166301410580905
16.78,16.066100002385845,14.480911833338759
16.8,15.507672300811322,14.183022051117291
16.82,14.432869006690797,14.40599067252828
16.84,14.826453442324818,14.518161504047871
16.86,15.199668419371273,14.449229128746593
16.88,15.38167365743299,14.123741464485917
16.9,15.66662927975301,13.686871251374408
16.92,14.05762433049787,13.80527544577028
16.94,14.817319751143348,13.503597621626355
16.96,14.94100234850639,13.979244533477427
16.98,14.664956933523214,14.043524417852256
17.0,13.820250525060583,14.313787471853896
17.02,14.866425172090048,14.919442900903707
17.04,14.997454712421487,15.17204709588776
17.06,14.455969404769053,14.928817933567915
17.08,14.544330561622644,13.455498964709724
17.1,13.883747189067119,13.560555991725167
17.12,14.001486540822388,13.869264148719186
17.14,13.966039130426743,13.730958064078374
17.16,14.910633479677058,13.667886766385843
17.18,14.25857514513149,13.3213363323139
17.2,14.115953897088815,13.976004097830103
17.22,14.130911838329896,13.786897507449686
17.24,13.680386361617906,13.845757261789224
17.26,13.88536263304557,13.761962164467784
17.28,13.283150292833396,14.282115793813276
17.3,13.734085266337736,14.199076360549075
17.32,13.860157531194346,14.164663711448103
17.34,13.9660360712963,14.695548819856835
17.36,12.798128014977596,13.694173379415249
17.38,13.558105070157545,13.039383643740614
17.4,13.617478101239781,13.544486416278177
17.42,13.842353318567849,14.378372787449765
17.44,13.269144013317865,13.7125813707253
17.46,12.93213390376748,13.499298735763961
17.48,13.381059387805532,13.981599829688472
17.5,13.544122119292766,14.756283784843783
17.52,14.790836613354609,14.033290678444613
17.54,13.51964561730211,13.660726583963797
17.56,12.908611874843926,14.02441123303199
17.58,13.203707822334046,14.275029278412227
