Parameter,Run 510 Value,Model,R2,Parameter,Run 309 Value,Model,R2,Parameter,Run 635 Value,Model,R2,Parameter,Run 639 Value,Model,R2,Parameter,Run 618 Value,Model,R2,Parameter,Run 632 Value,Model,R2,Parameter,Run 621 Value,Model,R2,Parameter,Run 627 Value,Model,R2,Parameter,Run 624 Value,Model,R2,Parameter,Run 629 Value,Model,R2,Parameter,Run 512 Value,Model,R2
sigma2,8.204458262712972,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,w2,0.6313864770515668,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,sigma2,14.999999999999998,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,sigma2,13.963305902266706,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,sigma2,14.999999999999998,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,sigma2,12.078251567694311,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,sigma2,14.287351075233458,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,sigma2,14.999999999999998,<lmfit.Model: Model(threegaussfit)>,0.9969995250439477,sigma2,12.618887389174965,<lmfit.Model: Model(threegaussfit)>,0.9974055871220863,sigma2,14.999999999999996,<lmfit.Model: Model(threegaussfit)>,0.9956499093271077,sigma2,29.999999994771265,<lmfit.Model: Model(threegaussfit)>,0.9972492058914934
a3,0.10974722894722706,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,a3,0.45262437518323456,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,a3,0.05727319431330076,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,a3,0.11867810758576164,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,a3,0.13966257530574103,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,a3,0.1293737780381375,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,a3,0.04010695886838945,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,,,,,,,,,,,,,,,,
x3,67.2569777148392,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,x3,28.517907924011872,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,x3,58.77322017591817,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,x3,67.99999999999744,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,x3,55.000000000008605,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,x3,67.99999999999999,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,x3,55.00000000126866,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,,,,,,,,,,,,,,,,
sigma3,25.69695455193101,<lmfit.Model: Model(fourgaussfit)>,0.9668570369653083,w3,1.07947766650907,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,sigma3,31.741241380689594,<lmfit.Model: Model(fourgaussfit)>,0.9962334519658509,sigma3,32.01516454660981,<lmfit.Model: Model(fourgaussfit)>,0.9958311546341453,sigma3,54.999999999999964,<lmfit.Model: Model(fourgaussfit)>,0.9945889975134071,sigma3,26.761947102939015,<lmfit.Model: Model(fourgaussfit)>,0.9947732902906294,sigma3,54.99999999999999,<lmfit.Model: Model(fourgaussfit)>,0.9970329479674455,,,,,,,,,,,,,,,,
,,,,a4,0.19012601481860916,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x4,33.836839905648624,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sigma4,5.4376328616602265,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a5,0.05682864069753686,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x5,44.00000000000001,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sigma5,9.999999999999998,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a6,0.044742937162590424,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,x6,57.021754583911175,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sigma6,8.761542236848443,<lmfit.Model: Model(mixfit4l3g)>,0.9928014759871155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
