x,y
10.0,27.700256576677923
10.02,24.94847134496553
10.04,23.817812315258564
10.06,24.540825092446646
10.08,25.280620731048224
10.1,26.20821487400657
10.12,27.012829790471216
10.14,25.244236710831522
10.16,25.145523419778495
10.18,24.490275700706427
10.2,24.305331800017516
10.22,24.34485264176596
10.24,27.384166562813984
10.26,23.74264993993859
10.28,25.512824617628244
10.3,26.785752393835946
10.32,28.124376255239476
10.34,28.143222174744785
10.36,25.183888585518577
10.38,25.203954357783648
10.4,25.243081390773344
10.42,26.44781269866988
10.44,26.865109751575325
10.46,25.361110257604516
10.48,26.75901652651953
10.5,26.59555242347355
10.52,26.469555472909803
10.54,27.444862040227815
10.56,25.473243161588144
10.58,26.658693679641964
10.6,26.394158216793375
10.62,26.466092231927824
10.64,24.610400862817695
10.66,24.78442546489329
10.68,25.622388260219907
10.7,27.031064576681306
10.72,26.36254241214693
10.74,24.529835010247076
10.76,25.25987845547908
10.78,23.84985834637605
10.8,23.930820894012502
10.82,26.538826202957964
10.84,26.57468773155364
10.86,24.851442270731752
10.88,25.06500977514382
10.9,24.741720039914767
10.92,24.247926117094288
10.94,24.754057686884032
10.96,24.145851545391185
10.98,25.643318488923317
11.0,26.432338183456213
11.02,25.744050163789616
11.04,26.159307550833812
11.06,26.657892241027756
11.08,25.959953632471464
11.1,25.665902828414243
11.12,25.94252686436585
11.14,25.99761093728125
11.16,25.948559512510442
11.18,26.29370395493233
11.2,26.420062172673102
11.22,26.055142993848147
11.24,25.230203743617263
11.26,24.87103976407366
11.28,24.75442286731816
11.3,25.877410620458566
11.32,25.461609076113955
11.34,24.562763831323753
11.36,24.45323548770516
11.38,24.59490323899856
11.4,27.03942052207676
11.42,25.921184927286404
11.44,24.61372465060332
11.46,27.616543999701094
11.48,27.156211797308902
11.5,26.417569090933963
11.52,26.900740277548092
11.54,26.660112340002495
11.56,25.827662499661802
11.58,25.47176385498505
11.6,25.572679656139417
11.62,26.612330913768744
11.64,26.229769229332074
11.66,25.62233712939334
11.68,24.76041560772922
11.7,25.313404777761228
11.72,24.29879916000628
11.74,24.94785960469875
11.76,25.460385522029274
11.78,25.837425479389967
11.8,26.511415440239592
11.82,26.456747688181625
11.84,25.599530235484472
11.86,24.83866537443005
